,Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Color,Variety,Blemishes (Y/N),Quality (1-5)
130,7.6,269,6.6,3.39,1.0,23,3.0,Light Orange,Moro (Blood),N,2.0
131,8.5,234,13.7,3.17,3.0,11,3.0,Orange-Red,Honey Tangerine,Y (Scars),4.0
132,7.9,155,12.4,3.58,1.0,15,5.0,Orange,Navel,N,5.0
133,6.7,198,10.6,2.8,3.0,23,5.0,Orange-Red,Navel,N,4.0
134,9.8,298,8.2,3.7,5.0,13,3.0,Light Orange,Star Ruby,Y (Scars),3.0
135,7.7,122,14.6,3.98,4.0,12,3.0,Orange-Red,Washington Navel,N,4.0
136,6.4,293,14.2,3.67,5.0,11,2.0,Orange-Red,Moro (Blood),N (Split Skin),3.0
137,9.8,143,11.0,3.65,3.0,13,5.0,Orange,Star Ruby,N,4.0
138,6.9,257,13.2,3.36,4.0,13,5.0,Orange-Red,Ortanique (Hybrid),N,4.0
139,6.0,157,9.2,3.85,1.0,23,4.0,Light Orange,Ortanique (Hybrid),N,4.0
140,8.9,180,16.0,2.86,2.0,24,2.0,Orange-Red,Ambiance,N,4.0
141,6.2,177,12.0,3.3,1.0,12,2.0,Deep Orange,Clementine,Y (Scars),4.0
142,6.5,296,15.0,3.2,4.0,23,2.0,Deep Orange,Temple,Y (Mold Spot),4.0
143,7.8,187,14.9,3.0,2.0,16,1.0,Deep Orange,Valencia,N,5.0
144,8.2,129,10.0,3.6,5.0,24,2.0,Orange-Red,Tangerine,Y (Scars),3.5
145,7.8,292,14.6,3.2,1.0,11,3.0,Deep Orange,Washington Navel,Y (Scars),4.0
146,7.3,281,7.7,3.5,2.0,23,4.0,Light Orange,Jaffa,Y (Scars),3.5
147,8.4,222,14.8,4.0,3.0,17,3.0,Deep Orange,Washington Navel,Y (Minor),4.0
148,9.2,139,14.0,3.7,2.0,22,1.0,Deep Orange,Tangerine,Y (Minor),4.0
149,7.8,234,7.6,3.2,1.0,19,1.0,Light Orange,Temple,Y (Sunburn Patch),1.0
150,7.4,238,10.6,3.6,5.0,14,1.0,Orange-Red,Tangerine,Y (Bruising),3.5
151,8.0,264,15.8,3.6,4.0,15,4.0,Deep Orange,Valencia,N,4.0
152,8.7,217,13.4,3.6,5.0,10,2.0,Deep Orange,Moro (Blood),Y (Mold Spot),4.5
153,9.7,294,12.7,3.5,3.0,19,1.0,Deep Orange,Navel,Y (Bruising),4.0
154,7.8,206,10.0,3.6,4.0,18,5.0,Orange-Red,Navel,N,4.0
155,7.2,274,12.4,4.3,3.0,12,5.0,Deep Orange,Temple,Y (Mold Spot),4.0
156,6.4,298,15.2,3.0,2.0,15,3.0,Deep Orange,Clementine,Y (Sunburn Patch),4.0
157,9.7,126,9.1,4.1,1.0,21,3.0,Light Orange,Washington Navel,Y (Minor),1.0
158,7.9,168,16.0,3.3,1.0,11,3.0,Deep Orange,Clementine,N,5.0
159,9.6,246,10.2,3.3,2.0,12,2.0,Orange-Red,Cara Cara,Y (Sunburn Patch),4.0
160,9.0,250,15.4,3.4,1.0,16,4.0,Deep Orange,Valencia,Y (Bruising),4.0
161,6.4,106,9.1,2.9,4.0,20,5.0,Light Orange,Jaffa,Y (Sunburn Patch),3.5
162,6.6,141,13.9,3.2,4.0,19,3.0,Deep Orange,Valencia,N,4.0
163,9.0,126,11.5,4.3,3.0,11,5.0,Orange-Red,Navel,N,4.0
164,6.9,176,13.7,3.2,5.0,15,5.0,Deep Orange,Cara Cara,N,2.5
165,9.0,256,14.1,3.7,3.0,12,4.0,Deep Orange,Satsuma Mandarin,Y (Bruising),4.0
166,6.4,127,15.4,2.9,2.0,11,5.0,Deep Orange,Star Ruby,Y (Minor),4.0
167,9.6,151,14.4,4.3,4.0,19,1.0,Deep Orange,Moro (Blood),N,4.0
168,7.9,258,14.5,3.4,4.0,22,4.0,Deep Orange,Temple,N,4.0
169,9.4,179,11.9,3.1,3.0,15,3.0,Orange-Red,Ambiance,N,4.0
170,7.2,288,6.9,3.6,2.0,16,4.0,Light Orange,Jaffa,Y (Sunburn Patch),3.5
171,7.1,236,11.4,4.0,2.0,13,3.0,Orange-Red,Ambiance,Y (Minor Insect Damage),4.0
172,8.6,139,12.1,4.2,1.0,15,4.0,Deep Orange,Moro (Blood),Y (Minor),4.0
173,6.8,263,13.4,3.1,4.0,12,5.0,Deep Orange,Navel,N,4.0
174,7.8,204,6.2,2.8,3.0,11,3.0,Light Orange,Temple,Y (Minor Insect Damage),2.5
175,8.1,292,7.4,3.6,3.0,16,5.0,Orange,Jaffa,Y (Minor),3.0
176,9.1,269,13.9,3.1,3.0,11,5.0,Deep Orange,Valencia,N,5.0
177,8.7,143,14.5,2.9,2.0,17,3.0,Deep Orange,Clementine,N,5.0
178,7.5,129,8.4,4.3,2.0,14,5.0,Light Orange,Tangerine,Y (Minor),3.5
179,6.9,291,9.9,3.8,5.0,10,4.0,Light Orange,Satsuma Mandarin,Y (Mold Spot),3.0
180,6.1,198,9.0,3.1,4.0,22,3.0,Light Orange,Cara Cara,Y (Minor),2.5
181,8.4,259,15.1,3.9,2.0,18,5.0,Deep Orange,Ortanique (Hybrid),Y (Split Skin),4.5
182,6.5,171,11.4,3.2,2.0,16,2.0,Orange-Red,Jaffa,Y (Minor),5.0
183,6.9,182,14.0,3.2,1.0,18,3.0,Deep Orange,Star Ruby,Y (Minor),4.0
184,6.9,112,13.6,2.9,1.0,25,2.0,Deep Orange,Washington Navel,N,5.0
185,8.6,217,9.1,3.1,1.0,15,3.0,Light Orange,Washington Navel,N,2.5
186,8.3,245,14.3,3.6,3.0,15,1.0,Deep Orange,Satsuma Mandarin,Y (Split Skin),4.0
187,8.3,273,14.0,3.2,4.0,22,4.0,Deep Orange,Tangerine,N,4.0
188,8.7,225,10.2,3.2,3.0,21,5.0,Orange-Red,Honey Tangerine,N,4.0
189,6.8,165,14.9,3.1,1.0,22,4.0,Deep Orange,Star Ruby,Y (Split Skin),5.0
190,7.5,285,15.2,3.7,3.0,10,3.0,Deep Orange,Satsuma Mandarin,N,4.5
191,6.7,283,6.3,3.0,4.0,21,1.0,Light Orange,Star Ruby,N,3.5
192,8.5,192,12.4,3.2,1.0,25,4.0,Deep Orange,Navel,Y (Sunburn Patch),4.0
193,7.6,264,14.2,3.2,3.0,12,1.0,Deep Orange,Star Ruby,N,5.0
194,8.9,195,11.1,2.8,5.0,22,5.0,Orange-Red,Star Ruby,N,3.5
195,8.7,141,7.0,3.9,4.0,10,2.0,Light Orange,Ortanique (Hybrid),N,3.5
196,6.7,246,8.6,3.5,4.0,21,3.0,Light Orange,Satsuma Mandarin,N,4.0
197,8.3,261,13.2,3.8,3.0,22,5.0,Deep Orange,Temple,N,4.0
198,7.7,193,9.8,3.2,2.0,11,3.0,Light Orange,Star Ruby,Y (Minor Insect Damage),3.5
199,9.6,288,6.6,2.8,2.0,19,2.0,Light Orange,Washington Navel,N,1.0
200,6.5,277,8.6,3.6,5.0,18,4.0,Light Orange,Clementine,Y (Sunburn Patch),4.0
201,9.1,296,11.1,3.3,3.0,15,1.0,Orange-Red,Tangerine,Y (Sunburn Patch),4.0
202,7.2,299,12.7,4.3,5.0,20,5.0,Deep Orange,Clementine,Y (Bruising),2.5
203,6.5,162,8.0,3.6,5.0,14,2.0,Light Orange,Minneola (Hybrid),Y (Sunburn Patch),2.5
204,6.8,142,11.0,3.4,5.0,20,3.0,Orange-Red,Valencia,Y (Sunburn Patch),4.0
205,7.5,138,7.0,4.1,1.0,20,3.0,Orange,Navel,N,2.0
206,6.6,128,10.4,3.7,4.0,25,1.0,Orange-Red,Ortanique (Hybrid),N,4.0
207,9.9,169,12.8,3.7,1.0,13,5.0,Deep Orange,Washington Navel,N,5.0
208,7.9,197,13.1,3.2,2.0,14,2.0,Deep Orange,Temple,Y (Minor),4.0
209,8.4,187,14.8,4.2,5.0,11,3.0,Deep Orange,Tangerine,N,4.5
210,7.1,298,14.1,3.4,3.0,23,5.0,Deep Orange,Clementine,Y (Sunburn Patch),4.0
211,6.4,149,14.3,3.5,3.0,25,3.0,Deep Orange,Minneola (Hybrid),Y (Bruising),4.0
212,7.6,237,7.7,3.7,2.0,24,3.0,Light Orange,Minneola (Hybrid),N,1.0
213,6.9,146,8.7,3.4,5.0,22,3.0,Light Orange,Ortanique (Hybrid),N,4.5
214,6.1,233,10.9,3.0,5.0,19,5.0,Orange-Red,Satsuma Mandarin,N,3.5
215,8.1,248,7.4,3.0,5.0,18,2.0,Light Orange,Cara Cara,N,4.0
216,7.2,261,8.0,3.3,5.0,21,5.0,Orange,Valencia,N,2.5
217,6.2,228,12.0,4.2,3.0,10,4.0,Deep Orange,Ortanique (Hybrid),Y (Scars),4.0
218,7.2,130,6.7,3.6,5.0,23,5.0,Light Orange,Temple,N,3.0
219,6.6,267,12.5,4.0,5.0,11,1.0,Deep Orange,Star Ruby,N,3.5
220,9.7,280,8.5,4.3,3.0,19,1.0,Light Orange,Minneola (Hybrid),Y (Sunburn Patch),3.0
221,7.0,246,14.3,3.8,1.0,14,2.0,Deep Orange,Minneola (Hybrid),N,5.0
222,9.4,291,6.3,3.9,4.0,17,2.0,Light Orange,Clementine,N,2.5
223,9.8,276,6.5,3.3,1.0,17,5.0,Light Orange,Star Ruby,N,2.0
224,7.1,210,13.0,3.7,2.0,21,5.0,Deep Orange,Navel,Y (Scars),4.0
225,6.4,261,14.6,3.2,2.0,17,3.0,Deep Orange,Ambiance,Y (Sunburn Patch),4.0
226,7.6,100,14.5,3.1,5.0,15,2.0,Deep Orange,Satsuma Mandarin,Y (Sunburn Patch),3.5
227,8.2,265,6.8,3.4,5.0,12,2.0,Light Orange,Moro (Blood),Y (Scars),3.0
228,7.6,189,11.5,3.2,2.0,12,4.0,Orange-Red,Ambiance,N,4.0
229,9.1,202,7.2,3.5,2.0,20,4.0,Light Orange,Cara Cara,N,1.0
230,9.0,147,15.6,3.4,2.0,17,2.0,Deep Orange,Moro (Blood),N,5.0
231,9.5,131,6.1,3.3,5.0,21,2.0,Light Orange,Star Ruby,Y (Sunburn Patch),3.0
232,6.1,273,8.3,4.3,1.0,16,4.0,Orange,Navel,Y (Minor),1.0
233,8.2,249,12.8,3.8,3.0,17,3.0,Deep Orange,Tangerine,Y (Scars),4.0
234,8.6,251,11.5,3.8,5.0,23,3.0,Orange-Red,Clementine,N,3.0
235,8.5,130,8.1,3.6,3.0,10,2.0,Orange,Valencia,Y (Sunburn Patch),4.0
236,8.0,194,10.9,3.6,5.0,13,1.0,Orange-Red,Tangerine,Y (Scars),5.0
237,7.4,275,8.5,3.5,5.0,20,5.0,Light Orange,Minneola (Hybrid),N,4.0
238,7.5,196,15.7,3.0,3.0,13,3.0,Deep Orange,Temple,Y (Minor Insect Damage),5.0
239,7.2,251,9.8,4.3,3.0,23,1.0,Light Orange,Moro (Blood),Y (Minor Insect Damage),3.0
240,7.3,282,10.5,2.9,4.0,21,2.0,Orange-Red,Jaffa,Y (Minor),4.0
